Mach,CD Power-Off
4.42,0.702252094
4.43,0.701769996
4.44,0.701289375
4.45,0.700810422
4.46,0.700332926
4.47,0.699857078
4.48,0.699382577
4.49,0.698909702
4.5,0.698438341
4.51,0.69796849
4.52,0.697500045
4.53,0.697033095
4.54,0.696567522
4.55,0.696103513
4.56,0.695640769
4.57,0.69517958
4.58,0.694719725
4.59,0.6942613
4.6,0.693804204
4.61,0.693348505
4.62,0.692894111
4.63,0.692441109
4.64,0.691989397
4.65,0.691539036
4.66,0.691089944
4.67,0.690642201
4.68,0.690195697
4.69,0.689750418
4.7,0.689306469
4.71,0.688863716
4.72,0.688422269
4.73,0.687981907
4.74,0.687542919
4.75,0.687104994
4.76,0.686668229
4.77,0.686232722
4.78,0.68579833
4.79,0.68536508
4.8,0.68493303
4.81,0.684501998
4.82,0.684072154
4.83,0.683643397
4.84,0.683215705
4.85,0.682789077
4.86,0.682363502
4.87,0.681938971
4.88,0.681515573
4.89,0.681093085
4.9,0.680671607
4.91,0.680251138
4.92,0.679831747
4.93,0.679413243
4.94,0.678995695
4.95,0.678579219
4.96,0.67816357
4.97,0.677748873
4.98,0.677335088
4.99,0.676922223
5,0.676510158
5.01,0.676144664
5.02,0.675746643
5.03,0.675349831
5.04,0.674954001
5.05,0.674559239
5.06,0.674165449
5.07,0.673772792
5.08,0.673381082
5.09,0.672990388
5.1,0.672600695
5.11,0.672211913
5.12,0.671824115
5.13,0.671437283
5.14,0.671051422
5.15,0.6706664
5.16,0.670282313
5.17,0.669899149
5.18,0.669516804
5.19,0.669135347
5.2,0.668754684
5.21,0.668374881
5.22,0.667995949
5.23,0.667617773
5.24,0.667240431
5.25,0.666863799
5.26,0.666487996
5.27,0.666112988
5.28,0.665738662
5.29,0.665365017
5.3,0.664992227
5.31,0.664619994
5.32,0.664248503
5.33,0.663877632
5.34,0.663507588
5.35,0.663138038
5.36,0.66276917
5.37,0.66240089
5.38,0.662033266
5.39,0.661666197
5.4,0.661299781
5.41,0.660933783
5.42,0.660568501
5.43,0.660203723
5.44,0.659839447
5.45,0.65947565
5.46,0.659112419
5.47,0.658749642
5.48,0.658387404
5.49,0.658025608
5.5,0.657664127
5.51,0.657303262
5.52,0.656942787
5.53,0.656582692
5.54,0.656222974
5.55,0.655863719
5.56,0.655504707
5.57,0.655146235
5.58,0.654787991
5.59,0.654430051
5.6,0.654072514
5.61,0.653715267
5.62,0.653358299
5.63,0.653001695
5.64,0.652645236
5.65,0.652289125
5.66,0.651933235
5.67,0.651577571
5.68,0.651222211
5.69,0.650866944
5.7,0.650511946
5.71,0.650157135
5.72,0.64980248
5.73,0.649447956
5.74,0.649093586
5.75,0.648739321
5.76,0.648385274
5.77,0.648031221
5.78,0.64767736
5.79,0.647323479
5.8,0.646969756
5.81,0.646616088
5.82,0.646262451
5.83,0.645908748
5.84,0.645555264
5.85,0.645201676
5.86,0.644848094
5.87,0.644494484
5.88,0.644140845
5.89,0.643787165
5.9,0.643433439
5.91,0.643079741
5.92,0.642725863
5.93,0.642371896
5.94,0.642017838
5.95,0.641663656
5.96,0.641309359
5.97,0.640955033
5.98,0.640600348
5.99,0.640245712
6,0.639890699
6.01,0.639566864
6.02,0.63927862
6.03,0.638991067
6.04,0.638704102
6.05,0.638417725
6.06,0.638131831
6.07,0.637846519
6.08,0.637561891
6.09,0.637277738
6.1,0.636994164
6.11,0.636711165
6.12,0.63642874
6.13,0.636146886
6.14,0.635865601
6.15,0.635584784
6.16,0.635304633
6.17,0.635024944
6.18,0.634745919
6.19,0.634467254
6.2,0.634189247
6.21,0.633911798
